0.000000,25.000000,27.500000,30.000000,35.000000,40.000000
0.040899,0.002867,0.001670,0.000742,0.000176,0.000086
0.004916,0.002144,0.001627,0.000886,0.000304,0.000085
0.002068,0.002068,0.001138,0.000734,0.000298,0.000078
0.008362,0.002338,0.001735,0.000820,0.000273,0.000100
0.008808,0.003066,0.001425,0.000956,0.000274,0.000098
0.008636,0.002656,0.001767,0.000884,0.000306,0.000094
0.011262,0.002777,0.001404,0.000799,0.000276,0.000100
0.014468,0.003135,0.001642,0.000964,0.000295,0.000095
0.010395,0.002886,0.001674,0.000849,0.000290,0.000091
0.007498,0.002725,0.001432,0.000920,0.000274,0.000095
0.008844,0.002931,0.001708,0.000839,0.000303,0.000088
0.009511,0.003101,0.001445,0.000980,0.000304,0.000094
0.009904,0.002840,0.001755,0.000892,0.000303,0.000099
0.011874,0.002742,0.001705,0.000954,0.000311,0.000000
0.012901,0.002828,0.001777,0.000880,0.000316,0.000089
0.012855,0.002589,0.001609,0.000901,0.000292,0.000097
0.011671,0.002859,0.001557,0.000906,0.000301,0.000000
0.011483,0.002713,0.001631,0.000951,0.000313,0.000000
0.014562,0.002755,0.001707,0.000946,0.000304,0.000000
0.014295,0.002951,0.001661,0.000993,0.000293,0.000000
